lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
107,1,76.69,12,21,4,5,2,3,0,1
16,2,98.0,10,19,2,1,0,0,0,1
6,1,106.07,9,22,4,3,0,0,0,1
56,0,93.6,12,7,4,3,0,0,0,0
117,1,104.04,10,29,4,3,2,0,3,1
77,0,90.95,4,13,4,4,0,0,0,1
3,2,45.0,5,19,3,1,0,0,0,1
29,1,72.0,1,26,4,3,0,3,0,1
122,0,68.0,8,1,3,5,2,0,0,1
30,0,140.0,6,2,3,2,0,0,0,1
60,1,149.77,9,29,4,2,0,1,3,1
177,1,72.25,8,5,3,2,2,0,0,1
17,1,80.0,3,17,2,2,0,0,0,1
68,1,89.93,4,2,4,3,2,0,0,1
85,0,140.4,6,2,4,1,0,0,3,0
305,0,89.0,11,4,4,2,1,0,0,0
0,1,0.0,2,17,1,1,0,0,5,1
100,1,105.3,5,1,4,1,2,0,0,1
95,0,80.75,5,6,3,2,1,0,0,1
323,1,112.0,5,17,3,4,0,1,0,0
1,0,65.0,7,28,2,2,0,0,0,1
220,1,118.25,10,24,4,4,1,3,0,0
38,0,107.1,7,2,4,1,1,3,0,0
212,0,126.9,10,31,4,4,1,0,3,0
6,1,114.0,9,20,4,0,1,3,0,1
48,0,130.0,9,14,3,2,0,0,0,1
62,0,71.4,9,23,3,1,0,0,0,1
78,2,114.3,7,12,4,4,0,0,0,1
114,1,79.2,12,12,4,0,1,3,0,1
49,0,65.0,9,22,2,1,0,0,0,1
115,0,89.25,9,10,4,3,1,0,0,1
150,0,125.8,6,28,4,8,2,0,3,0
303,0,78.0,8,19,3,3,2,0,0,0
6,2,105.0,9,13,4,0,1,0,0,1
62,2,159.3,5,7,4,1,0,0,3,1
1,1,106.0,2,1,4,0,1,0,3,1
336,0,78.0,9,21,3,4,1,0,0,1
0,0,208.0,7,13,4,1,0,0,3,0
68,2,151.2,10,9,4,3,2,0,3,1
251,1,73.35,11,21,4,1,1,3,0,1
40,0,128.4,6,8,4,3,0,0,3,0
34,1,94.95,9,13,4,4,2,3,0,1
100,0,80.75,9,25,3,1,2,0,0,1
19,2,162.0,8,26,4,2,1,0,3,1
77,3,132.3,10,7,4,2,1,0,3,1
53,1,81.7,3,17,4,3,1,3,0,1
78,0,100.0,3,25,3,2,1,0,0,0
168,0,90.95,7,7,4,4,2,0,0,0
3,1,0.0,7,2,1,1,0,0,1,1
29,1,72.0,2,11,4,3,0,3,0,1
36,1,107.3,2,27,4,1,1,0,0,1
148,0,69.33,4,23,4,1,2,0,0,1
62,1,57.0,1,17,3,3,2,0,0,1
10,1,146.0,4,23,4,1,1,0,3,0
2,1,164.0,8,24,4,2,0,0,3,1
1,0,100.8,10,14,3,2,0,0,0,1
20,1,134.1,9,22,4,3,0,3,0,1
101,0,102.25,7,4,3,3,1,1,0,1
188,0,130.0,6,15,4,2,0,0,0,0
56,0,112.2,4,8,4,5,2,0,3,0
57,1,118.5,3,21,4,2,1,0,3,1
95,1,89.25,4,27,4,4,1,3,0,1
52,1,122.4,12,29,4,3,0,0,0,1
31,1,178.42,9,10,4,5,2,0,6,1
91,0,133.2,8,6,4,1,2,0,3,1
4,1,0.0,2,15,1,1,1,0,0,1
174,0,70.0,10,10,3,1,1,0,0,0
79,0,89.25,9,2,4,3,0,0,0,0
59,0,177.93,4,26,4,5,1,0,5,0
166,0,110.0,11,1,3,3,0,0,0,0
17,1,102.0,12,29,4,3,1,3,0,1
1,0,90.0,9,9,2,2,0,0,0,1
3,0,80.0,8,28,3,0,1,0,0,1
171,2,128.7,8,26,4,1,0,0,3,0
160,0,114.5,8,22,4,2,1,0,0,0
273,0,109.0,7,17,4,2,0,1,0,0
35,1,109.8,8,30,4,4,0,0,0,0
0,1,65.0,8,1,2,0,1,0,0,1
6,0,68.0,11,27,3,4,2,0,0,1
12,1,77.57,9,7,4,3,1,0,3,1
16,1,103.0,3,18,4,1,0,0,0,1
87,1,135.27,8,8,4,1,1,0,3,1
2,1,81.0,2,6,4,1,0,3,0,1
273,0,95.0,5,13,4,2,1,0,0,0
93,1,126.9,6,20,4,1,1,0,0,1
1,0,94.0,7,7,2,1,0,0,3,1
36,1,77.99,12,22,4,1,0,3,0,1
275,0,90.0,10,5,3,4,1,0,0,0
113,1,76.5,8,22,4,1,0,0,0,0
91,0,80.0,4,4,3,2,1,0,0,0
6,0,110.0,10,26,0,4,0,0,3,1
82,0,130.5,6,29,4,3,0,0,0,0
0,0,177.0,7,11,4,0,1,0,5,1
105,2,168.3,9,16,4,2,0,0,3,1
178,1,99.45,8,3,4,4,0,0,0,1
145,0,69.56,4,29,4,4,2,0,0,1
250,0,95.0,9,26,3,3,1,0,0,0
30,0,157.5,4,14,4,2,0,1,3,0
71,1,126.0,5,10,3,3,0,1,0,1
92,2,89.85,7,12,4,4,0,0,0,1
36,1,81.62,10,21,4,4,1,0,1,1
245,0,75.0,6,17,4,2,0,0,0,0
228,2,115.6,10,5,4,4,2,0,3,0
273,0,87.0,7,17,3,2,0,1,0,1
160,0,94.5,8,4,4,2,0,3,0,0
280,0,110.0,9,19,3,2,1,0,0,0
11,1,126.0,9,30,4,1,0,0,0,1
57,0,75.0,11,15,3,5,0,0,0,1
291,0,115.0,8,19,4,2,0,1,0,0
30,1,126.9,5,21,4,1,0,0,0,1
54,0,148.33,2,28,4,2,2,0,5,0
25,0,127.67,5,21,4,1,2,0,0,0
75,0,80.75,6,26,3,1,2,0,0,1
107,0,117.28,11,6,4,2,2,0,3,1
47,2,198.9,5,26,4,1,0,0,5,1
71,0,51.96,7,11,4,1,0,3,0,1
2,1,109.0,2,8,4,0,1,0,0,1
309,0,65.0,5,13,3,2,1,0,0,1
202,2,96.3,10,20,4,3,0,0,0,0
31,1,90.0,4,9,2,1,0,0,3,1
64,2,198.9,4,29,4,2,1,0,5,1
215,2,100.8,5,4,4,4,0,0,0,0
237,1,107.53,10,12,4,4,0,0,0,0
0,2,179.0,9,15,4,1,0,0,0,1
79,0,75.0,11,13,3,2,0,0,0,1
110,1,104.4,10,27,4,3,0,0,3,0
113,0,116.1,6,9,4,3,0,3,0,1
0,0,124.0,8,11,4,2,0,0,0,1
308,2,78.3,11,23,4,3,0,0,0,0
105,0,75.0,4,6,3,1,0,0,0,0
0,0,139.0,6,7,4,1,0,0,3,0
296,0,81.0,9,21,3,4,0,1,0,1
147,0,101.7,5,4,4,4,0,0,0,0
213,0,130.0,6,7,3,3,0,0,0,0
4,0,90.0,10,19,4,0,1,0,0,1
219,0,108.0,9,4,3,1,0,1,0,0
146,0,116.45,7,31,4,3,2,0,0,0
87,1,187.85,5,16,4,10,4,0,5,0
1,1,0.0,9,1,1,1,0,0,0,1
349,0,90.0,10,4,3,5,1,0,0,0
197,1,108.45,8,9,4,4,0,0,0,0
196,1,150.45,9,19,4,3,1,0,0,0
102,0,101.5,10,16,3,2,0,1,0,0
170,2,114.75,8,3,4,5,2,0,0,0
116,0,96.05,9,18,4,2,1,1,0,0
18,1,142.43,8,27,4,5,2,0,3,0
31,1,134.1,10,4,4,1,0,0,0,1
63,0,116.0,9,4,3,2,0,1,0,1
74,0,126.9,6,10,4,1,0,0,0,1
120,1,220.0,8,5,4,10,4,0,6,0
56,0,75.0,11,14,3,2,1,0,0,1
40,0,72.9,2,16,4,1,0,0,0,0
138,0,94.5,8,22,3,1,2,1,0,0
77,1,134.85,5,14,4,2,2,0,3,1
346,1,115.0,9,13,3,2,0,1,0,0
67,0,75.0,11,25,3,2,0,0,0,1
77,0,80.75,4,8,4,6,2,0,0,0
22,0,62.0,11,17,2,1,0,0,0,1
46,0,85.5,10,16,3,2,2,0,0,1
2,1,79.0,12,14,2,1,0,0,0,1
54,1,126.9,6,4,4,1,1,0,3,1
18,0,76.8,9,15,3,1,0,3,0,1
71,0,203.76,4,3,4,5,2,1,5,0
0,2,106.25,10,21,4,2,2,0,0,1
24,1,153.23,11,7,4,2,1,0,0,1
24,3,94.35,6,12,4,0,2,0,0,1
182,1,144.5,12,27,4,4,0,0,5,0
204,0,73.65,8,26,4,2,1,0,0,0
5,0,133.0,3,23,4,3,0,0,0,1
211,0,100.0,5,20,3,2,0,0,0,0
1,0,124.0,8,11,4,1,0,0,0,1
130,0,194.85,5,5,4,3,0,0,1,1
115,2,107.41,12,29,4,2,0,0,3,1
177,0,80.75,10,14,3,2,1,0,0,1
377,1,115.0,10,14,3,2,0,1,0,0
6,1,180.67,8,15,4,2,1,0,3,1
1,0,93.0,7,20,3,1,0,0,0,1
19,0,187.0,7,5,4,4,0,0,3,1
112,1,120.0,6,2,3,3,0,0,0,1
218,0,86.62,8,3,4,3,0,0,1,0
16,0,93.0,11,16,4,1,0,0,0,1
53,0,126.9,5,18,4,2,0,0,0,0
39,0,101.5,8,14,3,2,0,1,0,1
64,1,81.08,7,18,4,2,1,0,0,1
55,0,104.0,4,6,3,1,0,1,0,1
239,2,80.75,6,28,4,5,0,3,0,0
3,0,120.0,9,19,2,1,2,0,0,1
26,2,122.0,8,30,4,2,0,0,0,1
120,0,84.15,3,27,4,3,2,0,0,0
105,0,137.7,7,23,4,1,0,0,3,0
18,0,48.5,11,17,4,3,1,3,0,0
94,1,87.3,3,18,4,2,1,0,3,1
50,0,60.0,11,17,3,3,0,0,3,1
36,0,81.9,3,10,4,1,0,0,0,0
32,2,97.92,10,5,4,4,1,0,0,1
12,0,72.0,10,4,3,0,1,0,0,1
60,0,105.3,7,12,4,1,0,0,0,0
205,0,90.0,5,29,3,1,2,0,0,0
221,0,65.0,10,10,3,1,2,0,0,1
27,1,234.0,9,29,4,2,0,0,5,0
230,1,137.0,9,6,3,5,0,0,0,0
12,1,156.0,8,22,4,2,1,0,3,1
38,2,120.91,11,4,4,2,2,0,3,1
156,1,87.3,8,24,4,4,1,3,0,1
44,0,75.0,2,17,3,3,0,0,0,1
10,2,149.0,9,19,4,1,1,0,0,1
190,1,109.25,8,22,4,3,1,0,0,0
50,1,58.94,1,24,4,3,2,0,0,1
4,0,103.0,4,10,4,0,2,0,0,1
19,1,138.0,2,12,4,2,1,1,0,0
103,0,95.0,5,4,3,3,0,0,0,0
103,0,118.8,8,3,4,3,0,0,3,0
116,2,79.2,12,17,4,1,2,3,0,1
28,1,70.04,2,26,4,2,1,0,0,1
144,0,118.8,9,22,4,3,1,3,0,0
273,0,109.0,7,17,3,2,0,1,0,0
77,1,69.84,2,8,4,5,1,0,0,1
2,2,122.0,8,17,4,3,1,0,0,1
129,1,100.8,3,29,4,5,0,1,0,1
37,2,135.0,8,30,4,4,0,0,0,1
47,2,87.0,12,24,4,1,0,0,0,1
35,1,97.4,12,2,4,2,2,0,0,1
69,0,125.1,9,10,4,1,0,3,0,1
92,1,187.85,6,1,4,4,0,0,5,1
34,0,224.67,9,23,4,3,0,1,0,0
92,1,89.25,7,15,4,4,0,0,3,0
23,1,166.0,8,3,4,1,0,0,3,1
184,3,139.05,8,16,4,4,0,0,3,1
245,0,75.0,6,17,3,2,0,0,0,0
3,0,106.0,9,23,3,1,0,1,0,1
30,1,88.0,11,18,4,1,0,3,0,0
14,0,100.0,10,15,3,2,0,0,0,1
305,0,89.0,11,4,3,2,1,0,0,0
28,1,85.59,11,4,4,4,0,0,3,1
6,0,86.0,2,1,4,0,1,0,0,1
159,1,119.85,5,26,4,3,0,0,0,0
150,1,118.62,8,28,4,3,2,0,0,1
73,0,38.67,3,21,3,2,1,0,0,1
20,0,131.2,9,26,4,3,1,0,3,0
88,1,138.0,5,3,3,3,0,1,0,1
83,2,132.3,10,19,4,4,0,0,3,1
56,0,82.0,9,17,3,2,0,1,0,1
2,0,120.0,9,29,2,1,0,0,0,1
142,0,110.75,5,29,3,5,2,1,0,1
96,0,76.93,4,10,4,2,2,3,0,1
12,1,97.1,2,7,4,3,2,0,3,1
170,1,70.0,4,23,3,1,2,0,0,1
38,1,120.7,12,21,4,4,1,1,0,1
256,0,90.0,6,15,3,2,0,1,0,1
110,0,94.5,7,25,3,1,2,1,0,0
84,2,94.0,7,25,4,1,0,0,0,1
31,0,70.0,9,16,3,2,1,0,0,1
75,1,90.95,4,7,4,3,2,0,0,1
154,1,90.95,6,27,4,3,1,0,0,1
67,0,75.0,11,25,3,2,2,0,0,1
13,0,89.0,6,14,4,1,0,3,0,1
39,0,85.0,10,24,3,3,1,0,0,1
109,1,90.96,5,8,3,3,2,0,3,1
33,0,95.0,1,25,2,2,1,0,0,1
0,0,127.0,2,15,4,0,1,0,3,1
72,1,151.2,10,18,4,3,0,0,3,0
1,0,68.0,12,27,4,0,2,3,0,1
109,1,107.55,7,11,4,3,1,0,0,1
151,0,97.75,8,6,4,6,3,3,0,0
71,1,122.4,7,10,4,3,2,0,3,1
103,0,94.5,7,18,4,1,2,1,0,0
55,2,207.0,10,18,4,5,1,0,5,1
6,3,119.0,12,28,4,4,0,0,3,1
16,0,75.0,3,11,2,1,0,0,0,1
57,1,88.4,12,2,4,2,2,0,0,1
98,0,80.1,10,26,4,2,0,3,0,0
118,1,104.4,10,29,4,1,2,0,3,1
3,1,104.72,5,2,4,0,1,0,0,1
128,1,103.5,8,9,4,5,0,3,0,1
124,1,143.1,5,31,4,3,0,0,0,0
133,0,118.8,9,3,4,1,2,3,0,0
166,1,94.5,8,6,4,1,2,3,0,1
23,0,94.0,10,7,3,5,2,0,0,1
256,0,76.67,9,14,3,2,1,0,0,1
61,0,60.0,11,21,3,2,2,0,3,1
12,0,140.0,3,30,4,4,1,0,3,0
111,0,99.28,8,13,3,1,1,0,3,1
115,0,109.65,5,11,4,4,0,0,0,0
59,2,123.3,9,1,4,3,0,0,3,1
111,0,120.0,10,10,3,0,1,0,0,0
185,2,81.77,5,6,4,2,0,0,0,0
144,1,96.3,6,27,4,2,1,0,0,1
56,0,140.4,6,1,4,3,0,0,3,1
62,1,121.5,7,26,4,2,0,0,0,1
191,0,71.1,11,25,4,1,0,3,0,0
4,0,190.0,12,3,4,1,0,0,5,1
76,2,88.4,12,7,4,4,0,0,0,1
24,0,229.6,10,6,4,2,0,1,4,0
19,0,172.0,3,26,4,2,2,0,0,0
48,0,94.88,10,25,3,3,2,1,1,1
67,1,71.74,4,2,4,2,2,0,0,1
9,1,81.0,1,30,4,1,2,3,0,1
9,2,159.0,8,15,4,2,1,0,0,1
2,0,77.0,9,21,3,2,1,0,0,1
18,0,136.0,5,9,4,2,1,0,3,0
137,1,102.73,8,20,4,5,2,0,0,1
5,0,100.0,9,20,2,0,2,0,0,1
37,0,69.9,2,22,4,2,1,3,0,0
5,0,68.0,12,19,4,1,1,3,0,1
14,1,107.67,11,18,4,2,1,0,0,1
19,1,174.0,12,26,4,1,1,0,5,1
144,0,75.0,7,1,3,2,1,0,0,0
127,0,90.0,4,28,3,3,1,0,0,1
0,0,109.0,10,5,4,0,1,0,0,1
320,1,115.0,8,18,4,2,0,1,0,0
201,0,72.08,7,6,3,3,0,0,0,1
156,0,72.25,8,8,3,5,1,0,0,1
13,0,73.0,4,26,3,3,0,1,0,1
118,1,97.75,4,30,4,3,2,0,0,1
109,0,75.76,4,16,4,2,2,0,1,1
104,1,114.3,7,3,4,2,2,0,0,1
13,0,170.0,11,8,2,2,0,0,0,1
4,4,0.0,7,5,1,1,0,0,0,1
4,0,65.0,12,8,2,2,0,0,0,1
0,0,65.0,1,20,2,1,0,0,0,1
93,1,94.5,7,12,4,2,0,3,0,1
18,0,112.8,5,31,4,4,0,0,3,0
62,0,67.0,10,23,2,0,1,0,0,1
42,1,106.8,11,25,4,3,0,0,0,1
72,0,75.0,11,24,3,3,0,0,0,1
7,1,95.0,11,2,4,3,1,0,0,1
12,1,95.0,9,14,2,2,0,3,0,1
100,0,110.0,9,28,3,4,0,1,0,1
91,1,106.92,10,7,4,1,0,0,0,0
116,0,96.0,2,28,3,1,2,0,0,1
80,1,88.29,12,20,4,5,2,1,0,1
150,0,79.2,12,2,4,2,1,3,0,0
79,2,91.2,11,19,4,5,2,0,3,1
13,0,82.4,8,21,4,3,2,3,0,1
2,0,65.0,12,2,2,1,0,0,0,1
49,0,112.0,11,4,3,2,1,0,0,1
18,0,80.0,12,11,3,0,1,0,0,1
265,0,100.3,10,9,4,3,2,0,0,0
16,1,129.0,10,5,3,1,0,0,0,1
2,1,67.0,4,21,2,1,0,0,0,1
71,0,75.54,10,30,4,0,1,0,0,0
7,2,241.0,5,25,4,2,0,0,5,1
70,0,59.5,3,28,3,2,1,0,0,1
107,1,119.7,8,21,4,1,2,0,0,1
17,1,88.0,3,9,4,2,0,3,0,1
29,1,184.06,9,26,4,2,1,0,6,1
92,1,96.9,12,22,4,3,2,0,3,1
7,0,66.0,2,29,2,1,1,0,0,1
10,0,111.0,4,7,4,3,0,0,0,0
56,0,69.6,2,26,4,2,0,0,0,0
15,1,109.55,8,17,4,1,0,0,1,1
4,1,87.0,2,26,4,2,0,0,0,1
102,1,76.5,8,21,4,2,0,0,0,1
59,1,109.8,8,29,4,3,1,0,0,1
15,1,116.75,9,9,4,4,0,0,0,1
68,2,137.7,7,23,4,2,2,0,3,1
18,1,93.0,2,19,4,2,0,0,0,1
4,1,92.43,12,26,4,5,2,0,3,1
112,0,100.0,6,2,3,2,0,0,0,1
59,1,76.5,10,15,3,3,2,0,0,1
14,1,138.0,12,28,4,1,0,0,0,1
60,1,76.0,11,15,4,4,2,3,0,1
83,1,101.15,9,4,3,0,1,0,4,1
28,1,75.0,12,1,2,3,1,0,0,1
40,0,95.0,7,26,3,1,0,1,0,1
129,1,88.01,8,10,4,3,0,0,0,1
22,1,95.0,11,19,4,3,0,0,0,1
88,0,56.94,2,29,4,3,1,0,0,0
286,0,117.0,9,16,3,2,0,1,0,0
16,1,123.33,10,1,4,3,0,0,3,1
7,1,114.0,10,5,4,1,1,3,0,1
119,0,94.5,5,6,4,2,0,3,0,0
75,0,105.0,10,30,4,0,2,1,0,0
157,0,90.95,6,26,4,3,2,0,0,0
4,0,91.0,2,16,4,1,0,0,0,1
19,1,107.03,9,23,4,2,1,3,0,1
304,0,89.0,11,3,3,3,0,0,0,0
5,0,95.0,4,18,2,0,1,0,0,0
81,0,0.0,4,1,1,2,0,0,0,1
5,2,127.0,8,17,4,1,0,3,0,1
