,Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
4501,INN04502,2,1,2,0,Meal Plan 1,0,Room_Type 1,208,2018,8,21,Online,0,0,0,112.5,2,Canceled
1470,INN01471,1,0,1,5,Meal Plan 1,0,Room_Type 1,349,2018,10,4,Online,0,0,0,80.0,0,Canceled
13803,INN13804,3,0,1,0,Not Selected,0,Room_Type 1,32,2018,4,17,Online,0,0,0,115.1,0,Canceled
9175,INN09176,2,0,1,1,Meal Plan 1,0,Room_Type 1,221,2018,12,31,Offline,0,0,0,71.28,0,Not_Canceled
32647,INN32648,2,0,2,5,Meal Plan 1,0,Room_Type 1,245,2018,12,27,Online,0,0,0,58.36,1,Canceled
2865,INN02866,2,1,2,0,Not Selected,0,Room_Type 1,11,2018,10,2,Online,0,0,0,135.0,3,Not_Canceled
10430,INN10431,2,0,1,3,Meal Plan 1,0,Room_Type 1,42,2018,1,14,Offline,0,0,0,60.0,0,Not_Canceled
33673,INN33674,2,0,0,2,Meal Plan 1,0,Room_Type 6,18,2017,10,2,Online,0,0,0,186.5,1,Not_Canceled
11289,INN11290,3,0,0,3,Meal Plan 1,0,Room_Type 4,51,2018,3,30,Online,0,0,0,123.3,0,Not_Canceled
25620,INN25621,2,0,2,3,Meal Plan 1,0,Room_Type 1,268,2018,10,9,Offline,0,0,0,80.75,0,Not_Canceled
19987,INN19988,3,0,1,3,Meal Plan 1,0,Room_Type 4,104,2018,7,21,Online,0,0,0,142.2,2,Not_Canceled
17768,INN17769,2,1,2,1,Meal Plan 1,0,Room_Type 1,48,2018,7,9,Online,0,0,0,131.7,3,Not_Canceled
7429,INN07430,2,0,1,2,Not Selected,0,Room_Type 1,22,2018,11,14,Online,0,0,0,64.37,1,Not_Canceled
5900,INN05901,2,0,0,4,Meal Plan 1,0,Room_Type 1,17,2018,11,9,Online,0,0,0,142.63,1,Not_Canceled
26362,INN26363,2,0,2,0,Meal Plan 1,0,Room_Type 1,34,2018,5,22,Online,0,0,0,108.9,1,Not_Canceled
36009,INN36010,2,0,2,1,Meal Plan 1,0,Room_Type 1,5,2017,12,19,Offline,0,0,0,80.0,0,Not_Canceled
19828,INN19829,2,0,2,1,Meal Plan 1,0,Room_Type 1,36,2018,6,19,Online,0,0,0,108.9,1,Not_Canceled
7681,INN07682,2,1,1,4,Meal Plan 1,0,Room_Type 1,50,2018,2,22,Online,0,0,0,69.57,2,Not_Canceled
26249,INN26250,2,0,1,3,Meal Plan 1,0,Room_Type 1,322,2018,5,19,Offline,0,0,0,80.0,0,Canceled
9441,INN09442,2,0,2,3,Meal Plan 1,0,Room_Type 1,81,2018,4,8,Online,0,0,0,90.95,0,Canceled
17054,INN17055,2,0,1,0,Meal Plan 1,0,Room_Type 1,81,2018,3,27,Online,0,0,0,96.3,0,Not_Canceled
10134,INN10135,1,0,1,1,Meal Plan 1,0,Room_Type 1,21,2018,10,17,Corporate,1,0,3,95.0,0,Not_Canceled
29711,INN29712,1,0,0,1,Meal Plan 1,0,Room_Type 5,2,2018,9,1,Corporate,0,0,0,125.0,0,Not_Canceled
30901,INN30902,2,0,2,0,Meal Plan 1,0,Room_Type 1,30,2017,9,13,Online,0,0,0,94.5,1,Canceled
12472,INN12473,2,1,0,1,Meal Plan 1,0,Room_Type 4,10,2018,6,14,Online,0,0,0,119.0,0,Canceled
30063,INN30064,2,0,1,4,Meal Plan 1,0,Room_Type 1,53,2018,3,28,Online,0,0,0,85.85,2,Not_Canceled
25052,INN25053,2,0,2,0,Meal Plan 1,1,Room_Type 4,162,2018,6,26,Online,0,0,0,114.3,1,Canceled
12366,INN12367,1,0,2,1,Meal Plan 1,0,Room_Type 1,116,2018,2,28,Offline,0,0,0,61.0,0,Canceled
25020,INN25021,1,0,0,3,Meal Plan 1,0,Room_Type 1,71,2018,6,14,Offline,0,0,0,120.0,0,Not_Canceled
6660,INN06661,2,0,1,3,Meal Plan 1,0,Room_Type 4,74,2018,3,21,Online,0,0,0,99.45,1,Not_Canceled
32881,INN32882,2,1,0,4,Meal Plan 1,0,Room_Type 1,33,2018,10,26,Online,0,0,0,149.0,1,Canceled
34522,INN34523,2,0,0,2,Not Selected,0,Room_Type 1,67,2018,5,13,Online,0,0,0,116.1,0,Canceled
6788,INN06789,2,1,2,0,Meal Plan 1,0,Room_Type 1,49,2018,8,21,Online,0,0,0,161.1,1,Not_Canceled
13569,INN13570,2,0,1,2,Meal Plan 1,0,Room_Type 1,304,2018,10,21,Online,0,0,0,74.15,0,Canceled
21305,INN21306,2,0,0,2,Not Selected,1,Room_Type 1,4,2018,1,22,Online,0,0,0,84.0,1,Not_Canceled
8963,INN08964,2,0,0,2,Meal Plan 1,0,Room_Type 1,32,2018,11,11,Online,0,0,0,130.0,1,Canceled
18535,INN18536,2,0,1,2,Meal Plan 1,0,Room_Type 4,14,2017,10,30,Offline,0,0,0,98.67,1,Not_Canceled
10621,INN10622,2,0,1,3,Meal Plan 1,0,Room_Type 1,66,2018,11,7,Online,0,0,0,179.1,2,Not_Canceled
590,INN00591,2,0,0,1,Not Selected,0,Room_Type 1,120,2018,5,12,Online,0,0,0,72.76,0,Not_Canceled
8958,INN08959,3,0,0,2,Meal Plan 1,0,Room_Type 4,86,2018,7,26,Online,0,0,0,137.7,0,Not_Canceled
28911,INN28912,2,0,1,3,Meal Plan 1,0,Room_Type 1,75,2018,3,17,Offline,0,0,0,80.0,0,Canceled
10057,INN10058,2,0,1,1,Meal Plan 1,0,Room_Type 1,97,2018,5,16,Offline,0,0,0,80.75,0,Not_Canceled
27158,INN27159,2,0,0,1,Not Selected,0,Room_Type 1,38,2018,6,1,Online,0,0,0,89.1,1,Not_Canceled
5675,INN05676,2,0,2,3,Meal Plan 1,0,Room_Type 4,75,2018,8,12,Online,0,0,0,149.4,1,Not_Canceled
11938,INN11939,2,0,1,4,Meal Plan 1,0,Room_Type 4,78,2018,12,26,Online,0,0,0,110.84,2,Not_Canceled
28744,INN28745,2,0,0,0,Not Selected,0,Room_Type 1,13,2018,8,16,Online,0,0,0,0.0,2,Not_Canceled
14302,INN14303,1,0,1,1,Meal Plan 1,0,Room_Type 1,10,2018,7,4,Corporate,1,1,15,65.0,1,Not_Canceled
33811,INN33812,2,0,4,5,Meal Plan 1,0,Room_Type 1,221,2018,8,14,Online,0,0,0,90.95,1,Not_Canceled
31948,INN31949,1,0,0,3,Meal Plan 1,0,Room_Type 1,56,2018,3,15,Online,0,0,0,56.83,1,Not_Canceled
1102,INN01103,1,0,0,1,Meal Plan 1,0,Room_Type 1,5,2018,2,3,Corporate,1,0,4,66.0,0,Not_Canceled
36004,INN36005,2,0,2,3,Meal Plan 1,0,Room_Type 1,194,2018,4,17,Online,0,0,0,77.23,2,Not_Canceled
34376,INN34377,2,0,2,5,Meal Plan 1,0,Room_Type 1,0,2018,12,14,Online,0,0,0,81.6,2,Not_Canceled
15090,INN15091,2,0,1,3,Meal Plan 1,0,Room_Type 1,109,2018,5,23,Offline,0,0,0,75.0,0,Not_Canceled
8363,INN08364,2,0,0,3,Not Selected,0,Room_Type 1,85,2018,6,30,Online,0,0,0,103.5,0,Canceled
11816,INN11817,1,0,2,1,Meal Plan 1,0,Room_Type 1,116,2018,2,28,Offline,0,0,0,61.0,0,Canceled
3709,INN03710,2,0,0,3,Meal Plan 1,0,Room_Type 2,41,2018,2,18,Online,0,0,0,72.37,0,Not_Canceled
32022,INN32023,2,1,1,3,Meal Plan 1,0,Room_Type 1,7,2017,8,20,Online,0,0,0,119.5,1,Canceled
15228,INN15229,2,0,0,1,Not Selected,0,Room_Type 1,13,2018,9,15,Corporate,0,0,0,100.0,1,Not_Canceled
10535,INN10536,2,0,0,2,Meal Plan 2,0,Room_Type 1,256,2018,6,15,Offline,0,0,0,115.0,1,Canceled
20865,INN20866,1,0,1,4,Meal Plan 1,0,Room_Type 5,150,2018,7,25,Corporate,0,0,0,106.0,0,Not_Canceled
7292,INN07293,2,0,0,3,Meal Plan 1,0,Room_Type 4,36,2018,9,28,Online,0,0,0,147.6,2,Not_Canceled
1340,INN01341,2,0,2,1,Meal Plan 1,0,Room_Type 1,92,2018,3,26,Online,0,0,0,100.0,0,Canceled
6352,INN06353,2,1,2,4,Meal Plan 1,0,Room_Type 4,95,2018,8,24,Online,0,0,0,131.4,1,Canceled
10975,INN10976,1,0,0,4,Meal Plan 1,0,Room_Type 1,8,2018,11,16,Online,0,0,0,80.75,2,Not_Canceled
33848,INN33849,2,0,0,1,Meal Plan 1,0,Room_Type 4,42,2018,3,22,Online,0,0,0,131.4,0,Not_Canceled
25198,INN25199,2,0,0,5,Meal Plan 1,0,Room_Type 1,130,2018,6,28,Online,0,0,0,90.95,1,Canceled
36163,INN36164,1,0,6,13,Meal Plan 1,0,Room_Type 4,102,2018,5,15,Online,0,0,0,132.6,1,Canceled
16012,INN16013,2,0,2,2,Meal Plan 1,0,Room_Type 1,212,2018,10,9,Online,0,0,0,75.23,0,Canceled
12722,INN12723,2,1,2,3,Meal Plan 1,0,Room_Type 6,69,2018,10,16,Online,0,0,0,153.05,1,Not_Canceled
2980,INN02981,2,0,0,1,Meal Plan 1,0,Room_Type 4,77,2018,6,28,Online,0,0,0,98.41,0,Canceled
25687,INN25688,1,0,0,1,Meal Plan 1,0,Room_Type 1,19,2018,5,7,Online,0,0,0,135.0,0,Not_Canceled
24592,INN24593,2,0,1,0,Meal Plan 1,0,Room_Type 1,12,2018,2,7,Online,0,0,0,93.0,1,Canceled
9887,INN09888,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,1,23,Online,0,0,0,85.0,0,Not_Canceled
33113,INN33114,2,0,0,3,Meal Plan 1,0,Room_Type 1,36,2018,11,1,Offline,0,0,0,75.0,0,Not_Canceled
7182,INN07183,2,1,0,4,Meal Plan 1,0,Room_Type 1,10,2018,2,10,Online,0,0,0,126.5,2,Canceled
19017,INN19018,2,0,2,4,Meal Plan 1,0,Room_Type 1,198,2018,8,3,Offline,0,0,0,72.25,0,Not_Canceled
370,INN00371,2,2,0,5,Meal Plan 1,0,Room_Type 6,22,2017,12,29,Online,0,0,0,199.0,0,Not_Canceled
16426,INN16427,2,0,2,2,Meal Plan 1,0,Room_Type 1,51,2018,3,11,Online,0,0,0,54.09,0,Canceled
5476,INN05477,2,0,2,3,Meal Plan 2,0,Room_Type 1,46,2018,3,4,Offline,0,0,0,103.0,0,Not_Canceled
10773,INN10774,3,0,1,2,Meal Plan 1,0,Room_Type 4,31,2018,2,22,Offline,0,0,0,102.9,1,Not_Canceled
18165,INN18166,1,0,0,2,Meal Plan 1,0,Room_Type 1,0,2017,10,27,Corporate,1,0,1,65.0,0,Not_Canceled
22267,INN22268,2,0,0,2,Meal Plan 1,0,Room_Type 1,44,2018,4,27,Online,0,0,0,106.2,1,Not_Canceled
35518,INN35519,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,12,13,Corporate,0,0,0,84.0,1,Not_Canceled
1688,INN01689,1,0,0,2,Not Selected,0,Room_Type 1,83,2018,7,15,Online,0,0,0,77.0,1,Not_Canceled
14625,INN14626,2,0,0,3,Meal Plan 1,0,Room_Type 4,54,2018,10,13,Online,0,0,0,139.5,3,Not_Canceled
13373,INN13374,2,0,0,2,Not Selected,0,Room_Type 1,15,2018,2,12,Online,0,0,0,79.0,0,Canceled
28118,INN28119,3,0,0,1,Meal Plan 1,0,Room_Type 4,11,2018,7,21,Online,0,0,0,196.0,2,Not_Canceled
19355,INN19356,2,0,2,2,Not Selected,0,Room_Type 1,24,2018,9,25,Online,0,0,0,119.0,1,Canceled
27264,INN27265,1,0,1,2,Meal Plan 2,0,Room_Type 1,80,2018,9,26,Offline,0,0,0,86.0,0,Not_Canceled
12320,INN12321,2,0,2,1,Meal Plan 1,0,Room_Type 1,105,2018,3,5,Online,0,0,0,89.3,0,Not_Canceled
24704,INN24705,2,0,0,2,Meal Plan 2,0,Room_Type 1,265,2018,6,24,Offline,0,0,0,109.0,0,Canceled
31169,INN31170,2,0,1,0,Not Selected,0,Room_Type 1,5,2018,5,16,Online,0,0,0,68.53,1,Not_Canceled
1433,INN01434,2,0,2,1,Meal Plan 1,0,Room_Type 1,34,2018,9,25,Online,0,0,0,117.0,1,Not_Canceled
24765,INN24766,1,0,2,1,Meal Plan 1,0,Room_Type 1,1,2018,2,28,Offline,0,0,0,60.0,0,Canceled
4028,INN04029,2,0,1,3,Meal Plan 1,0,Room_Type 1,114,2018,7,11,Online,0,0,0,81.26,0,Not_Canceled
30528,INN30529,2,0,0,2,Meal Plan 2,0,Room_Type 1,292,2018,7,21,Offline,0,0,0,115.0,0,Canceled
35588,INN35589,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,2018,6,24,Offline,0,0,0,95.0,0,Not_Canceled
28993,INN28994,2,0,1,3,Meal Plan 1,0,Room_Type 1,48,2018,3,7,Online,0,0,0,73.95,1,Canceled
1715,INN01716,2,0,0,1,Meal Plan 1,0,Room_Type 1,145,2018,7,1,Offline,0,0,0,72.76,0,Not_Canceled
29976,INN29977,2,0,1,1,Meal Plan 1,1,Room_Type 2,42,2017,12,28,Online,0,0,0,91.5,0,Not_Canceled
3346,INN03347,2,0,0,4,Not Selected,0,Room_Type 1,66,2018,8,31,Online,0,0,0,120.6,0,Not_Canceled
2531,INN02532,2,0,2,3,Meal Plan 1,0,Room_Type 4,189,2018,7,17,Online,0,0,0,99.45,1,Not_Canceled
4892,INN04893,2,0,1,3,Meal Plan 1,0,Room_Type 1,189,2018,8,8,Offline,0,0,0,72.25,0,Not_Canceled
35739,INN35740,2,0,2,4,Meal Plan 1,0,Room_Type 4,1,2018,2,5,Online,0,0,0,106.0,1,Not_Canceled
5950,INN05951,2,0,1,1,Meal Plan 1,0,Room_Type 4,168,2018,7,18,Offline,0,0,0,91.45,0,Not_Canceled
23252,INN23253,2,0,2,2,Not Selected,0,Room_Type 1,30,2018,4,2,Online,0,0,0,112.58,0,Canceled
29070,INN29071,2,0,2,2,Meal Plan 1,0,Room_Type 4,71,2018,4,8,Online,0,0,0,107.95,0,Not_Canceled
17022,INN17023,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,2018,6,24,Offline,0,0,0,95.0,0,Not_Canceled
26002,INN26003,2,0,1,3,Meal Plan 1,0,Room_Type 1,90,2018,4,4,Online,0,0,0,82.45,1,Not_Canceled
3428,INN03429,1,0,0,2,Meal Plan 2,0,Room_Type 1,292,2018,7,21,Offline,0,0,0,90.0,0,Not_Canceled
4108,INN04109,2,2,1,2,Meal Plan 1,0,Room_Type 6,58,2018,10,21,Online,0,0,0,198.0,2,Not_Canceled
5137,INN05138,2,0,1,2,Meal Plan 1,0,Room_Type 1,243,2018,9,9,Online,0,0,0,106.2,2,Canceled
6407,INN06408,2,1,4,6,Meal Plan 1,0,Room_Type 1,118,2018,6,26,Online,0,0,0,113.33,2,Not_Canceled
2207,INN02208,2,0,0,5,Meal Plan 2,0,Room_Type 1,230,2018,9,6,Online,0,0,0,137.0,0,Canceled
19314,INN19315,2,0,0,2,Meal Plan 1,0,Room_Type 4,96,2018,8,11,Offline,0,0,0,82.45,0,Not_Canceled
25701,INN25702,2,0,1,5,Meal Plan 2,0,Room_Type 4,59,2018,9,6,Online,0,0,0,171.0,2,Not_Canceled
3897,INN03898,2,0,1,0,Meal Plan 1,1,Room_Type 1,0,2018,11,14,Corporate,1,0,1,77.0,0,Not_Canceled
27948,INN27949,2,0,2,3,Not Selected,0,Room_Type 1,47,2018,10,2,Online,0,0,0,79.0,2,Not_Canceled
22638,INN22639,2,0,2,1,Meal Plan 1,0,Room_Type 4,142,2018,5,22,Online,0,0,0,114.3,0,Not_Canceled
20508,INN20509,1,0,0,3,Meal Plan 1,0,Room_Type 1,71,2018,6,14,Offline,0,0,0,120.0,0,Not_Canceled
27590,INN27591,3,0,1,2,Meal Plan 1,0,Room_Type 4,28,2018,2,26,Online,0,0,0,125.77,1,Canceled
17395,INN17396,0,2,0,3,Meal Plan 1,0,Room_Type 2,219,2018,8,10,Online,0,0,0,86.5,0,Canceled
15541,INN15542,2,0,0,2,Meal Plan 1,1,Room_Type 1,72,2018,6,22,Online,0,0,0,120.6,1,Not_Canceled
9551,INN09552,2,0,0,2,Meal Plan 1,0,Room_Type 4,15,2018,9,15,Online,0,0,0,141.68,1,Canceled
20242,INN20243,2,0,0,3,Meal Plan 1,0,Room_Type 1,23,2018,12,8,Online,0,0,0,108.67,1,Not_Canceled
13570,INN13571,2,0,0,2,Meal Plan 1,0,Room_Type 6,47,2018,11,25,Online,0,0,0,156.6,2,Not_Canceled
3480,INN03481,2,0,2,2,Meal Plan 1,0,Room_Type 4,60,2018,8,28,Online,0,0,0,111.6,0,Not_Canceled
12550,INN12551,2,0,2,1,Not Selected,0,Room_Type 1,13,2018,9,25,Online,0,0,0,129.0,2,Not_Canceled
3048,INN03049,2,0,1,2,Not Selected,0,Room_Type 1,98,2018,6,10,Online,0,0,0,116.1,2,Not_Canceled
34912,INN34913,2,1,0,4,Meal Plan 1,0,Room_Type 1,98,2018,11,2,Online,0,0,0,106.2,1,Not_Canceled
20225,INN20226,2,0,0,3,Meal Plan 1,0,Room_Type 4,64,2018,3,10,Online,0,0,0,87.3,1,Not_Canceled
13242,INN13243,2,0,0,3,Not Selected,0,Room_Type 1,8,2017,8,19,Online,0,0,0,81.0,2,Not_Canceled
27646,INN27647,2,0,1,3,Meal Plan 1,0,Room_Type 1,132,2018,7,11,Online,0,0,0,101.58,1,Not_Canceled
5992,INN05993,1,0,1,1,Meal Plan 1,0,Room_Type 4,32,2017,10,24,Online,0,0,0,136.0,1,Not_Canceled
22721,INN22722,1,0,2,2,Meal Plan 1,0,Room_Type 1,56,2017,9,25,Offline,0,0,0,185.0,0,Not_Canceled
33768,INN33769,2,1,1,2,Meal Plan 1,0,Room_Type 1,21,2017,10,5,Online,0,0,0,117.0,0,Not_Canceled
32751,INN32752,2,0,2,1,Meal Plan 1,0,Room_Type 1,18,2018,1,10,Online,0,0,0,97.33,1,Not_Canceled
32417,INN32418,2,0,1,3,Meal Plan 1,0,Room_Type 1,11,2018,12,5,Online,0,0,0,97.4,0,Not_Canceled
2944,INN02945,2,0,0,1,Meal Plan 1,0,Room_Type 1,5,2017,9,2,Offline,1,0,1,12.0,1,Not_Canceled
33753,INN33754,2,0,0,5,Meal Plan 1,0,Room_Type 4,51,2018,4,26,Online,0,0,0,120.7,1,Not_Canceled
25782,INN25783,2,0,0,2,Meal Plan 2,0,Room_Type 1,39,2017,8,14,Offline,0,0,0,109.0,0,Not_Canceled
27990,INN27991,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,2018,6,24,Offline,0,0,0,95.0,0,Not_Canceled
34840,INN34841,2,0,2,5,Not Selected,0,Room_Type 1,107,2018,12,21,Online,0,0,0,76.69,1,Not_Canceled
24385,INN24386,1,0,0,1,Meal Plan 1,1,Room_Type 1,16,2018,10,19,Corporate,1,0,8,98.0,2,Not_Canceled
210,INN00211,2,0,0,3,Meal Plan 1,0,Room_Type 1,6,2017,9,22,Online,0,0,0,106.07,1,Not_Canceled
36175,INN36176,2,0,0,3,Meal Plan 1,0,Room_Type 1,56,2018,12,7,Online,0,0,0,93.6,0,Canceled
2577,INN02578,2,0,2,3,Meal Plan 1,0,Room_Type 4,117,2018,10,29,Online,0,0,0,104.04,1,Not_Canceled
5182,INN05183,2,0,0,4,Meal Plan 1,0,Room_Type 1,77,2018,4,13,Online,0,0,0,90.95,0,Not_Canceled
